,Name,price,rate,image
0,ADIDAS EAY85 Classic Foundation Backpack- Green,"EGP 1,079.00",4.6 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/196625/1.jpg?4749
1,ADIDAS RF082 Motion Linear Backpack- Black,"EGP 1,679.00",4.6 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/196625/1.jpg?4577
2,ADIDAS SF501 4Athlts Camper Backpack- Blue,"EGP 2,159.00",4.8 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/296625/1.jpg?4727
3,ADIDAS CJ601 Training Backpack- Blue,"EGP 1,275.00",4.5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/296625/1.jpg?4744
4,Umbrella To Protect From The Sun And Rain,EGP 239.90,4.9 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/585515/1.jpg?8648
5,ADIDAS DSZ32 Junior Boys And Girls Brand Love Backpack- Green,"EGP 1,519.00",4.5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/136025/1.jpg?3062
6,ADIDAS IKS76 Must Haves 2-In-1 Backpack- Black,"EGP 3,799.00",4.1 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/296625/1.jpg?4541
7,Laptop Bag 15.6-Inch Laptop - Black,EGP 325.00,3.7 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/861603/1.jpg?1024
8,Transparent Umbrella High Quality,EGP 115.00,4.3 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/604803/1.jpg?1645
9,Big Umbrella Bombai 1pcs Black,EGP 194.00,4.2 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/874025/1.jpg?5090
10,Mintra Drawstring Backpack Rush Bag Pirate Black Front Pocket Rush Bag Pirate -Black.,EGP 141.00,4 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/2393801/1.jpg?4755
11,"Organizer Wallet For Passport, Banknotes And Cards",EGP 97.00,4.5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/527114/1.jpg?5694
12,ADIDAS DK502 Motion Badge Of Sport Backpack- Black,"EGP 1,935.00",4.9 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/296625/1.jpg?5130
13,ADIDAS RF082 Motion Linear Backpack- Turquoise,"EGP 1,679.00",4.7 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/296625/1.jpg?4961
14,"Multiple Travel Wallet For Passport, Banknotes, Coins, Etc.",EGP 98.00,4.2 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/594093/1.jpg?2744
15,ADIDAS DMF30 Future Icons Backpack- Black,"EGP 3,799.00",4.3 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/296625/1.jpg?4595
16,Long Card Bag And Wallet For Women And Men For Travel.Dark Blue.,EGP 95.00,4.5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/332774/1.jpg?2330
17,ADIDAS BU238 Training Endurance Packing System Backpack 40 L- Blue,"EGP 3,999.00",4.7 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/196625/1.jpg?5364
18,ADIDAS DSZ25 Marvel Spider-Man Backpack- Black,"EGP 1,671.00",4.6 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/296625/1.jpg?5182
19,"Genuine Leather Passport Holder, Cover, Handmade",EGP 275.00,no rate,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/895769/1.jpg?5730
20,ADIDAS DMF46 Men & Women Classic Brand Love Initial Print Backpack- Grey,"EGP 1,759.00",4.9 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/136025/1.jpg?3048
21,ADIDAS DRF69 Prime Backpack Extra Small- Black,"EGP 1,979.00",5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/296625/1.jpg?4507
22,ADIDAS DMF49 Classic 3-Stripes Glam Backpack- Red,"EGP 1,839.00",4.4 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/296625/1.jpg?4673
23,ADIDAS L9583 Classic Badge Of Sport Backpack- Green,"EGP 1,671.00",5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/196625/1.jpg?5079
24,Waterproof Cross Bag - Black,EGP 198.00,4.6 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/805294/1.jpg?2578
25,ADIDAS MLQ79 Training Ep/Syst. Team Backpack 35 L- Blue,"EGP 4,399.00",4.5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/196625/1.jpg?4656
26,Travel Wallet To Keep Money And Passport And Phone,EGP 74.00,4.8 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/7908201/1.jpg?2091
27,Multi-use Foldable Travel Handbag,EGP 175.00,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/8419301/1.jpg?8757
28,ADIDAS DMF46 Classic Brand Love Initial Print Backpack- Burgundy,"EGP 1,935.00",4.9 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/296625/1.jpg?5310
29,Mintra Zipper JetPack Printed Backpack - 35X30X15cm - Rose,EGP 270.00,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/292993/1.jpg?1163
30,ADIDAS MLQ67 Must Haves Backpack- Beige,"EGP 3,799.00",4.5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/296625/1.jpg?5011
31,Puma 079943-02 Phase Backpack - Navy,"EGP 1,322.00",5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/6424221/1.jpg?1045
32,"Unbreakable Trolley Luggage With TSA Lock, 4 Silent Spinner Wheels, Expandable Double Zipper","EGP 1,450.00",2 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/3576601/1.jpg?1765
33,"Multiple Travel Wallet For Passport, Banknotes, Coins, Etc.",EGP 98.00,4.5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/527114/1.jpg?5694
34,Mini Wallet For Storing Credit Cards And Phone,EGP 74.00,4.5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/0106301/1.jpg?1078
35,USB Anti-theft Chest Package European And American Style Shoulder Bag,EGP 139.99,4.1 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/950512/1.jpg?9952
36,Digital Hanging Pocket Luggage Scale,EGP 309.00,4.3 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/040544/1.jpg?6073
37,"Airtight Storage Bag For Clothes And Blankets, Vacuum Storage Bags .(60*80 ).3pcs",EGP 125.00,4.4 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/410512/1.jpg?9858
38,"Large Umbrella For Wider Coverage, Foldable",EGP 249.00,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/2517311/1.jpg?3185
39,(2Pcs) Transparent Zippered Organizer Bag For Travel Tools,EGP 39.00,3.9 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/578425/1.jpg?6868
